Response ID,Status,Department,Director,Manager,Supervisor,Staff,Question,Response
1,Complete,Human Resources,0,1,0,0,1. I know what is expected of me at work,5
2,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,1
3,Complete,Parks and Recreation,0,1,0,0,1. I know what is expected of me at work,4
4,Complete,Human Resources,0,1,0,0,1. I know what is expected of me at work,3
5,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,4
6,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,1
7,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,5
8,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,1
9,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3
10,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
11,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,2
12,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
12,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
13,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
14,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,1
15,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,2
16,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3
17,Complete,Finance and Performance Management,0,1,0,0,1. I know what is expected of me at work,2
18,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
19,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3
20,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,3
21,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,2
22,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,2
23,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,5
24,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4
25,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3
26,Complete,Sheriff's Department,0,0,0,1,1. I know what is expected of me at work,4
27,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
28,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3
29,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,5
30,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
31,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,3
32,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,2
33,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,5
34,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,1
35,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,5
36,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
37,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4
38,Complete,Medical Examiner,0,0,0,0,1. I know what is expected of me at work,4
39,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3
40,Complete,Assigned Council,0,0,1,0,1. I know what is expected of me at work,1
41,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
42,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,2
43,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,1
44,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,2
45,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,1
46,Complete,Prosecuting Attorney's Office,0,0,0,1,1. I know what is expected of me at work,3
47,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
48,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,5
